time (min);bPAC;bPAC;bPAC;mNphp3(201)-bPAC;mNphp3(201)-bPAC;mNphp3(201)-bPAC;mCherry;mCherry;mCherry;Note: This dataset was retrieved from https://doi.org/10.6084/m9.figshare.11417325.v1, which is licensed under CC-BY-4.0. For more information please visit this link!
65,23333;0,911;0,758;1,018;0,598;0,411;0,627;0,015;0,009;0,092;
65,4;0,908;0,753;1,017;0,593;0,414;0,593;0,038;0,041;0,047;
65,56667;0,902;0,746;1,011;0,609;0,416;0,607;0,059;0,033;0,071;
65,73333;0,901;0,743;1,003;0,601;0,407;0,618;0,043;0,039;0,090;
65,9;0,902;0,748;0,996;0,602;0,404;0,609;0,060;0,031;0,097;
66,06667;0,894;0,746;1,000;0,595;0,408;0,573;0,073;0,031;0,081;
66,23333;0,891;0,733;0,990;0,580;0,396;0,621;0,041;0,020;0,051;
66,4;0,890;0,739;0,993;0,580;0,404;0,555;0,054;0,035;0,059;
66,56667;0,883;0,737;0,981;0,557;0,379;0,572;0,007;0,032;0,054;
66,73333;0,881;0,733;0,979;0,556;0,381;0,571;0,045;0,024;0,094;
66,9;0,884;0,734;0,977;0,547;0,376;0,567;0,065;0,033;0,043;
67,06667;0,871;0,731;0,967;0,584;0,368;0,566;0,061;0,029;0,088;
67,23333;0,877;0,731;0,971;0,570;0,374;0,550;0,009;0,014;0,040;
67,4;0,878;0,730;0,974;0,555;0,384;0,528;0,046;0,035;0,039;
67,56667;0,871;0,728;0,956;0,546;0,359;0,530;0,030;0,052;0,056;
67,73333;0,865;0,727;0,954;0,545;0,374;0,552;0,036;0,010;0,055;
67,88333;0,868;0,723;0,944;0,549;0,350;0,519;0,048;0,034;0,083;
68,05;0,863;0,722;0,939;0,544;0,362;0,524;0,042;0,043;0,052;
68,21667;0,858;0,718;0,945;0,527;0,376;0,516;0,030;0,012;0,059;
68,38333;0,860;0,717;0,935;0,525;0,362;0,532;0,039;0,037;0,050;
68,55;0,859;0,716;0,931;0,543;0,353;0,513;0,049;0,012;0,070;
68,71667;0,843;0,718;0,934;0,531;0,347;0,504;0,034;0,034;0,083;
68,88333;0,853;0,708;0,925;0,505;0,355;0,520;0,039;0,020;0,064;
69,71667;1,084;0,713;0,928;1,877;0,349;0,489;2,985;0,035;0,070;
69,88333;1,099;0,916;1,204;1,838;1,209;1,851;3,046;0,806;1,811;
70,05;1,102;0,916;1,227;1,694;1,163;1,853;2,881;0,913;2,109;
70,21667;1,118;0,927;1,239;1,572;1,052;1,734;2,610;0,919;2,044;
70,38333;1,126;0,927;1,239;1,502;0,969;1,611;2,367;0,889;1,981;
70,55;1,140;0,933;1,260;1,394;0,931;1,506;2,202;0,876;1,980;
70,71667;1,146;0,948;1,277;1,375;0,944;1,497;2,101;0,905;2,026;
70,88333;1,151;0,950;1,288;1,332;0,933;1,490;1,993;0,933;2,029;
71,05;1,155;0,970;1,311;1,284;0,925;1,473;1,900;0,953;1,985;
71,21667;1,153;0,970;1,327;1,245;0,906;1,449;1,895;0,970;2,080;
71,38333;1,160;0,986;1,327;1,242;0,901;1,435;1,796;0,966;1,998;
71,55;1,164;0,981;1,333;1,215;0,862;1,394;1,794;0,977;1,965;
71,71667;1,165;0,989;1,351;1,205;0,850;1,365;1,751;1,000;1,989;
71,88333;1,170;0,994;1,353;1,203;0,867;1,362;1,698;0,979;1,947;
72,05;1,171;0,999;1,359;1,211;0,843;1,367;1,702;0,955;1,919;
72,21667;1,174;1,003;1,362;1,195;0,836;1,384;1,674;0,956;1,914;
72,38333;1,178;1,000;1,378;1,198;0,832;1,375;1,668;0,949;1,950;
72,55;1,179;1,010;1,388;1,197;0,830;1,355;1,652;0,930;1,919;
72,71667;1,180;1,007;1,377;1,199;0,827;1,367;1,593;0,941;1,922;
72,88333;1,180;1,010;1,391;1,215;0,833;1,365;1,645;0,911;1,973;
